text_akhir,polarity,label_ml
suka transaksi pakai aplikasi blu bca kurang fitur tampil qr code bayar adaadanya terima dana fiturnya enggasoalnya cari adamudahan update adabiar bingung bayar supermarket,negative,negative
tolong baik tolong user aplikasi blu detik aplikasi laman login responsibilitas pindah menu aplikasi baik biar gesit,negative,negative
daftar kemarin kayak ubah berat lelet alias lambat ringan log transaksi smootth lag lag animasi halus hilang biar beban aplikasi update sistem tingkat sempurna bintang,negative,negative
kali bayar transfer aplikasi buka stack halaman masuk putih buka bca aplikasi lancar takut klok uang masuin sana trus pakai bantu transfer orang dekat update play store,negative,negative
fitur mantap mudah kurang aplikasi lelet banget buka fiturlogin kubus muter tulis blu deh dag dig dug hasil engga nich moga baik efisien guna aplikasi transaksi,positive,positive
secure transaksi lot cocok tabung jangka transaksi hari deh fast respon aku cs aplikasi berat,positive,positive
suka pakai aplikasi blu bca digital initapi aplikasi update responsif login trf cepat kdg bug lumayan lambat login aplikasi muter set lumayan lambat terimakasih moga bantu suka kurang mnurut,negative,negative
mudah blu bikin susah transisi buka tutup aplikasi lambat serasa loading mohon diupdate efisiensi nyaman guna kalah aplikasi bank mana aplikasi lancar tunggu,negative,negative
saran apk blu updetan lumayan cepat saat transaksi mmiliki bnyak kkurangan bug saat buka apknya lelet bnyak loadingnya jaring bagus makan buka pin delay saran alangkah baik bikin simpel transaksi cepat jenis hp hp spek rendah blu dgunakan brbagai kalang,positive,positive
aplikasi beratkurang optimalisasi coba samsung iphone profesional app store ip hdc buka halaman qris makan lumayan banding mbangking buka halaman transfer bca blu biaya admin personal tarik pakai blu biaya admin,negative,negative
suka blu kartu keren csnya fast respon fitur blusaving nominal kecil jamin lps ojk temu fitur dark mode intip saldo masuk dalam menu aplikasi moga depan blu fitur terima kasih,neutral,neutral
aplikasi transfer super lelet negara gagal transfer cepat lambat muter bayang buang air selesai aplikasi maju luncur hahaha,negative,negative
mohon animasi bikin berat aplikasi tuh ganti simple aplikasi lelet banget sat set transaksi sat set smooth biar makan,negative,negative
far buka rekening aman saran blu bca ttp upgrade segi cepat layan aplikasi fiturnya udeh oke beda dr saku nabungnya menang istilah layan lelet ttp kalah saku gaakan nilai plus iyaiya tolong baik denger review konsumen untk baik depan butuh bukti nyata omong good luck blu bca,negative,positive
aplikasi baguss pocket pocket tabung pisah pisah gitu uang tabung fitur top shopee pay suka hilang tolong beneri fitur teruspermanen,positive,positive
fungsi qr bayar scan sperti indmaret bayar pakai qr scan tolong fiturnyaaa edit fungsi qr scan suliiitt antri tempat belanja scan tolong baik cepat,negative,negative
ui mantap simpel ngeribetin minus kadang lambat buka tolong tambahin fitur qris bayar biar gampang belanja alfa,positive,positive
halo blu senang blu loading terkadang nyaman aplikasi harap baik tingkat terima kasih salam hangat,positive,positive
tolong aplikasi smooth responsif berat aplikasi kasihan orang aplikasi blu device pada,negative,negative
sebenernya bagus banget pisahpisah saving keluh verifikasi wajah login device pakai kamera susah banget login gabisa login,negative,negative
kirim email kjnjung pas trasaksi kode otp pljs baik buk lelah bayar pakai kris ribet banget ditek gambar apa untung bank digital transaksi,positive,positive
aplikasi berat kadang loading suka ngebug admin mohon baik apl ringan bug rating kasih bintang,positive,positive
aplikasi lelet mudah transaksi pas antre bayar dimarahin cust belakang buka aplikasi blu bca tolong baik krna bnyak komplain,negative,negative
fitur tarik guna sayang lambat bayar qris loading baca rang grafik image berat apps,negative,positive
lelet hp usia transfer gagal melulu karen koneksi icon icon fitur klik kali ngelag,negative,negative
top notif dana tolong tingkat kasih kode qris transfer ribet kasih rekening aplikasi smooth rada lelet buffer sinyal bagus,neutral,neutral
memudahkanui menanrik nyaman fitur promonya lumayanserta masuk cepat animasi loading buka transaksi qris transaksi lai animasi loading,positive,negative
sebenernya aplikasi bagus login transaksi delay lumayan nunggunya makan moga baik sat set aplikasi belah min,negative,negative
fitur sedia bagus ukur aplikasi kecil aplikasi blu data memori hp lambat operasi,negative,negative
butuh baik aplikadi lelet animasi blu bentuk box hilang lumayam berat,neutral,neutral
tolong developer jaringanya buka aplikasi blu muat pdahal rumah pakai wifi sm data udh coba jaring muat heran tolong developer darurat buka blu muat hdeuh,neutral,negative
ringanin apk loading delay kadang buka nominal tunggu detik pencet muncul oke oke delay bayar make qris tunggu,negative,negative
buka aplikasi loadingnya beda sodaranya bca bca mobile transaksi tunggu buka tolong baik loading aplikasi bikin simpel gambar cepat buka bca mobile,negative,negative
aplikasi blu bagus simple saran rekening blu bisnis tambah buat qris merchant toko bca merchant fitur beda blu bisnis blu account regular blu account regular tambah qris generator bayar retail indomaret alfamart kalah fitur aplikasi ewallet dana gopay,positive,negative
bintang kasih deh jam chet cs blu cepat keren banget jarang cs bank layan jam promo tarik salah kartu debit garuda mails pas belanja kumpulin poin biar tiket pesawat kelas bisnis murahgeratis transfer gerat minimal transfer investasi buka tabung deposito,positive,positive
aplikasi berat cepat user frendly loadingnya rang fiturnya mudah simpel,negative,positive
nasabah bca transaksi pakai bcatapi kemarin aju pinjam blu verifikasi tolak alas sesuai kriteria pinjam blu hapus aplikasi blu manfaat trimakasih,positive,positive
banget verifnya tunggu antri ratus pas gilir blank hitam doang menit tunggu gatau cs main wkwk gilir jujur nunggun antri,neutral,neutral
aplikasi bagus mudahcuma lambat buka aplikasipadahal pakai hp ram gbsemoga depan kecil aplikasi sehinga cepat login,negative,negative
sebenernya bagus login masuk nomor ponsel kode otp alih wa kait dg nomor hp nomor aktif pulsa,negative,negative
aplikasi bagus mudah tabung transfer seringkali update buru buru transfer kendala update tunggu,negative,negative
aplikasi tambah menu macammacam berat user friendly sinyal bagus hape vivo v hape spek flagship buka apk tolong update baik,neutral,negative
bagus mudah paham sayang tarik tunai kasih limit minimal bisa dlm kali tarik,positive,positive
pakai bantu simpan alternatif rekening bca utama transfer rekening bca blu kena biaya blu putus tetap tarif normal transaksi kecewa,negative,negative
aga aneh pakai reward cashback pdhl tera tenant promo cashback download blubca sblmnya udh haps krna bbrp taruk mnrt download aneh,positive,positive
verifikasi muka susah akun muka sendiri susah pakai masker posisi bawah lampu terang benderang hp goyang orang goyang bilang gelap hp jaman kamera standar bagus bersih beli hp masuk gilaaa syarat ikutin kamera hp android jelek,negative,negative
update lanjut aplikasi lamaa tunggu kasir kena omell mohon baik,negative,negative
tahap verifikasi vidio antri antri habis gilir video call sambung tunggu sambung putus sambung hubung ulang antri,negative,negative
aplikasi bagus mudah lambat kali masuk transaksi belanja pakai qris masuk qris lamaa main,negative,negative
oke oke pakai mudah koreksi aplikasi lambat berat banget pakai samsung kadang aplikasi ngebug kali ringanin biar berat,positive,positive
app blu sebenernya bagus top emoney shopee pay enak top emoney blu pilih ovo gopay linkaja dana update shopee pay masuk variatif hilang,positive,positive
aplikasi bagus bayar kdg delay detik ttp guna utama dr rekening rekening bca mobile,negative,negative
aplikasi bagus mudah menu lengkap aplikasi jalan berat loading saran mohon aplikasi animasi biar jalan ringan cepat,negative,negative
apk berat hp ram sinyal bagus pas butuh transaksi cepat fitur lengkap masuk admin baik loading bca apk sat set tambah barcode bayar qris terimakasih,positive,positive
lucu syarat menuhin bludebit card lihat syarat minimal saldo ktransaksi minimal x bulan pas penuh syarat minimal loyalty lever blugrande minimal saldo jt saldo segitu nyimpen bank rekomen seabank bunga cair,negative,positive
donlod ribet aktipkan screenlockdah kali coba bisapadahal bikin aplikasi ribet pin,negative,negative
selfie ulang kali kalimat hp goyang pakai tripod bilang goyang ken ambil data doang akhh siall kali kasih ulas hidup taiiiii buang data,negative,negative
kasih bintang biar cepat tanggap kasih deh keluh app berat bayar pakai qris bayar indihome edit bayar pakai qris icon tengah besar app perban bayar indihome tetep,negative,negative
user blu nyaman walo kendala lambat load aplikasi gratis tarik tunai pakai blu moga aman percaya org safety,positive,positive
suka bank bca engga app lelet ampun kalah jaring hp nokia jaman kecepatanya harap baik sempurna bca kurang app terimakasih moga bangun tidur,positive,positive
daftar rekening via videocall sulit alas nama ktp kakak huruf double nama ucap beda mm kakak ktp sulit ampun nomer nik daftar bank teloransi huruf double bca kaku,negative,negative
bagus user interface modern tampil simple bingung admin bulan nilai plus moga depan fitur bayar nfc nirsentuh kompetitor,positive,positive
tolong registrasi hasil video call tim blu perkara nama kandung jelasjelas baca baikbaik tolong sulit tolong depan tuh,neutral,neutral
baik kendala apa update transaksi sambung putus sinyal lancar mohon baik kak,positive,positive
banget optimalisasi layan aplikasi sebentar sebentar update update klu gx lelet lelet tarik tunai atm bca kena biaya transfer bca kadang kena biaya mybca mbca,negative,negative
kesini ngelag berat aplikasi pakai blu kendala pas buka aplikasi berat banget buka aplikasi gede lancar,negative,negative
tampil home simple qris transfer klik saldo portofolio tampil home minimal pindah tab simple,positive,positive
lambat error transfer status hasil saldo potong masuk rekening terima ganggu rugi,negative,negative
ngasi pinjam nawarin pinjam nyoba x ngajuin pinjam minimum tolak lelet banget aplikasi tolong hapus menu pinjam hapus aplikasi blu,negative,negative
halo mohon tingkat performa aplikasi androidnya bayar kasir lelet buffering scan responsif kadang pas pasin banget scan suka fitur aplikasi pocket kini transfer mudah ribet save bca top free admin kadang cashback,positive,positive
lambat aplikasi satset ribet banyak loading hadeh ribet deh inti canggih cepat apa jaring tetep lambat lambat,negative,negative
ribet banget login kunci layar hp mybca nggk hp nggk sandi ganggu atur sandi melulu tolong hilang fitur ganggu,negative,negative
suka fitue apk baca silah coba kirain sinyal lain tolong baik bca blu cari jalan kluar biar baca bgtu fitur pinjam,positive,positive
aplikasi bagustapi tolong masuk aplikasi jaring jaring bagus bagus bermasalahjadi tolong aplikasi,negative,negative
aplikasi berat fitur sesimple loadingnya login transfer tolong pering aplikasi tunggu update fast loadingnya,negative,negative
parah bca mobile blu biaya admin naung pakai tabung kena admin bca bintang jujur aplikasi bagus kasih deh,negative,negative
tolong muncul kode bayarkarena merchant akses aplikasi ringan berat iklan iklan,negative,negative
verifikasi tinggal vc tunggu antri gilir gabisa putusin panggil coba ulang kali pagi malam kaya gitu tunggu antri sebentar,negative,negative
depan moga blu lengkap fiturfitur mudah guna bagus terima kasih blu,positive,positive
udh akun bulan pakai buka aplikasi pakai vpn nyalain vpn jalan aplikasi gilir pakai vpn stuck loading,negative,negative
aplikasi bantu review login transaksi lambat tolong baik responsif cepat,positive,positive
bagus sayang aplikasi lamban buka sengaja pakai fitur shortcut fitur qris eh tetep lamban please develop biar lelet,negative,negative
daftar pas nge foto ktp posisi sesuai tulis pasti hasil foto potong coba kaliii gitu sebenere ndk si daftar,positive,positive
mohon baik transfer cek nomor rekening nama transfer takut keliru nama,negative,neutral
suka blu bca digital nasabah kena biaya bulan fitur tabung blusaving blu deposito bunga bayar kecewa pokok,positive,negative
blu bca bank nama sayang guna dikarenanak aplikasi berat ram gb atas ram gb bawah lambat ampun,negative,negative
bantu menabungbebas admindan tarik tunai card tarik huuuuu puas deh bank digital inirekomendeddddddd sihhh,positive,positive
videocall verifikasi akun cs ramah kaget ukur bca service begitu okay aplikasi juara,positive,negative
blu bca mudah transaksi online promo tarik mangajukan pinjam blu bca tolak sayang blu bca mohon bantu pinjam butuh modal usaha terimkasih,negative,positive
nasabah daftar tahap vidio call tunggu antri menit sambung customer service suruh panggil hubung antri alas teknis kunjung hubung tahap daftar kecewa layan daftar,negative,negative
suka pakai blu lelet buka aplikasi muter kali keliling kabah kelar tuh lelet,positive,positive
